date,open,high,low,close,volume,return_t,abs_return_t,intraday_range_t,log_volume_change_t,rolling_volatility_5_t,stress_interaction_t,weekday_Friday,weekday_Monday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,next_day_abs_return
2018-07-05,272.17,273.18,270.96,273.11,56621680,0.0081579918789223,0.0081579918789223,0.00815666678913924,0.2942781687066578,0.07081151128035582,6.654202142487315e-05,0,0,1,0,0,0.008458130423638854
2018-07-06,273.14,275.84,272.715,275.42,66414600,0.008458130423638854,0.008458130423638854,0.011441019257523615,0.15952495848861759,0.08003560074496084,9.676963305949851e-05,1,0,0,0,0,0.009004429598431285
2018-07-09,276.55,277.96,276.5,277.9,49652160,0.009004429598431285,0.009004429598431285,0.005279334659193562,-0.2908750126707105,0.08651988332252926,4.753739726526665e-05,0,1,0,0,0,0.003598416696653395
2018-07-10,278.41,279.01,278.08,278.9,51162450,0.003598416696653395,0.003598416696653395,0.0033403972558457193,0.02996396986862848,0.08423171067751255,1.2020141258890419e-05,0,0,0,1,0,0.007314449623520791
2018-07-11,277.15,278.04,276.52,276.86,76905490,-0.007314449623520791,0.007314449623520791,0.005484394732094673,0.40757139429840095,0.10930977363442702,4.011532898340929e-05,0,0,0,0,1,0.009065953911724378
2018-07-12,278.28,279.43,277.6,279.37,59986150,0.009065953911724378,0.009065953911724378,0.006576110392410465,-0.24846355947058285,0.11145531457548348,5.961871373600499e-05,0,0,1,0,0,0.0007874861295056323
2018-07-13,279.17,279.93,278.66,279.59,48211510,0.0007874861295056323,0.0007874861295056323,0.004549199412544262,-0.21851590894156914,0.10780828715011659,3.5824314377337772e-06,1,0,0,0,0,0.0008941664580278674
2018-07-16,279.64,279.803,278.84,279.34,48070320,-0.0008941664580278674,0.0008941664580278674,0.0034437133457303044,-0.0029328503264274275,0.09543294474694847,3.079252964814963e-06,0,1,0,0,0,0.004045249516718252
2018-07-17,278.47,280.91,278.41,280.47,52171530,0.004045249516718252,0.004045249516718252,0.008977627751642904,0.08187200332617905,0.09623442284576623,3.631674432360983e-05,0,0,0,1,0,0.002103611794487703
2018-07-18,280.56,281.18,280.06,281.06,44475860,0.002103611794487703,0.002103611794487703,0.003992015968063888,-0.1595903704162822,0.060837519651850594,8.39765187420244e-06,0,0,0,0,1,0.003771436703906672
2018-07-19,280.31,280.74,279.46,280.0,61337540,-0.003771436703906672,0.003771436703906672,0.004566372944240411,0.3214454772935831,0.047225909317879046,1.722178652563466e-05,0,0,1,0,0,0.0011428571428571122
2018-07-20,279.77,280.48,279.5,279.68,83120620,-0.0011428571428571122,0.0011428571428571122,0.0035028773635486943,0.30390074804049405,0.04834266110360242,4.003288415484114e-06,1,0,0,0,0,0.0018592677345536934
2018-07-23,279.45,280.43,279.06,280.2,46971110,0.0018592677345536934,0.0018592677345536934,0.0049024870280909095,-0.5707600647341948,0.04883933451255131,9.115035950397454e-06,0,1,0,0,0,0.005032119914347044
2018-07-24,281.79,282.56,280.63,281.61,67830670,0.005032119914347044,0.005032119914347044,0.006849072003974614,0.36748171413211494,0.05348302608931166,3.446535162599747e-05,0,0,0,1,0,0.008522424629807013
2018-07-25,281.33,284.37,281.28,284.01,78136310,0.008522424629807013,0.008522424629807013,0.010983542459033989,0.14144041108977135,0.07731908334200406,9.360641277540234e-05,0,0,0,0,1,0.002359071863666795
2018-07-26,283.2,284.11,283.09,283.34,57764990,-0.002359071863666795,0.002359071863666795,0.003601694915254374,-0.30207197824555365,0.07095016183524748,8.496657136088356e-06,0,0,1,0,0,0.00677631114561994
2018-07-27,283.71,283.82,280.38,281.42,76745550,-0.00677631114561994,0.00677631114561994,0.012125057276796723,0.2841125172291399,0.09558072260823083,8.216316076603779e-05,1,0,0,0,0,0.0052235093454623405
2018-07-30,281.51,281.69,279.36,279.95,63129490,-0.0052235093454623405,0.0052235093454623405,0.008276793009129282,-0.1953073877410958,0.105476883061349,4.323390563364417e-05,0,1,0,0,0,0.004929451687801345
2018-07-31,280.81,282.02,280.38,281.33,68048690,0.004929451687801345,0.004929451687801345,0.00584024785442109,0.07503546343714973,0.10516048013563872,2.8789219643154225e-05,0,0,0,1,0,0.001670635908008311
